title,release_date,type,runtime,genre,director,cast,country,language,production_company,synopsis,tags,imdb_rating,imdb_review_count,imdb_id
패터슨,2016-11-17,movie,113,"드라마, 코미디, 로맨스",,,,,K5 International,,"husband wife relationship, new jersey, poetry, routine, eavesdropping, beer, notebook, bus driver, hobby, twins, dog, drink, veteran, aspiration, ex-boyfriend ex-girlfriend relationship, cupcake, female artist, baking, meditative, calm, philosophical, repetition, bulldog, aspiring artist, poem writing, fame-seeking, loving, mundanity",,,tt5247022
Copycat,2016-09-30,movie,90,코미디,,,,,Firestorm Pictures,,"printer service, going out of business",,,tt2236686
전망 좋은 집 3,2016-11-10,movie,93,"로맨스, 드라마",,,,,,,softcore,,,
How Not to Work & Claim Benefits... (and Other Useful Information for Wasters),2016-11-30,movie,95,"드라마, 코미디",,,,,,,,,,tt3922678
풀 스피드,2016-11-11,movie,92,"가족, 코미디, 액션",,,,,La Petite Reine,,"family relationships, driving a car, road movie, new car, failed brakes, french police, high speed",,,tt4993964
아메리칸 패스토럴,2016-10-20,movie,108,"범죄, 드라마",,,,,TIK Films,,"vietnam war, husband wife relationship, based on novel or book, parent child relationship, 1970s, political activism, man hunt, stuttering, 1960s, college reunion, beauty queen",,,tt0376479
Gorenos,2016-06-05,movie,81,공포,,,,,Williams 4 Productions,,,,,tt5087548
골드 랜섬,2016-05-05,movie,107,스릴러,,,,,Pinewood Studios,,"kidnapping, survival, boot camp, remote island",,,tt2782844
극장판 칸코레,2016-11-26,movie,91,"액션, 애니메이션, SF, TV 영화, 전쟁",,,,,diomedéa,,"based on video game, anime",,,tt6448970
Just Our Luck,2016-05-03,movie,78,코미디,,,,,,,,,,tt3300526
가려진 시간,2016-11-10,movie,129,"판타지, 드라마",,,,,Barunson E&A,,,,,tt6273736
드림 쏭,2016-07-08,movie,89,"애니메이션, 모험, 코미디, 가족, 음악",,,,,Dream Factory Group,,"naivety, rock 'n' roll, guitar, musician, village, anthropomorphism, dog, mastiff",,,tt2822672
허리케인 샤크네이도,2016-07-31,movie,85,"코미디, SF",,,,,The Asylum,,"shark attack, sequel, las vegas, creature feature",,,tt4831420
극장판 은하기공대 마제스틱 프린스 - 각성의 유전자,2016-11-04,movie,77,"애니메이션, 액션, SF",,,,,Orange,,"mecha, anime",,,tt6900184
Saving Borshia,2016-03-05,movie,110,"모험, 코미디",,,,,,,,,,tt4892994
La reina de España,2016-11-25,movie,130,코미디,,,,,Atresmedia,,,,,tt2411144
바운티 헌터스,2016-07-01,movie,105,"액션, 모험, 코미디, 드라마",,,,,Pegasus Motion Pictures,,bounty hunter,,,tt5243900
널 기다리며,2016-03-10,movie,108,"범죄, 스릴러",,,,,Soojak Film,,"revenge, serial killer",,,tt5545862
더 씨닝,2016-10-12,movie,84,"스릴러, 드라마, 공포",,,,,Cinemand,,"high school, dystopia, conspiracy, eugenics, aptitude test, meritocracy",,,tt5254868
홈 인베이션,2016-02-02,movie,89,"스릴러, 드라마, 범죄, TV 영화, 공포",,,,,ARO Entertainment,,"canada, robbery, explosive, gang of thieves, danger of life, stepmother, hidden camera, high tech surveillance, wealthy, mansion, surveillance, break in, rainstorm, security system, emergency, rich husband, home security, remote location, blocked road, intruders, suspense, stepmother stepson relationship, absent father, masked criminals, peninsula, swing bridge, professional criminal",,,tt5351000
새오빠,2016-09-20,movie,81,드라마,,,,,Four Seasons of Younghwasa,,"relationship, softcore, complicated relationships",,,
웬 더 보우 브레이크,2016-09-09,movie,97,"드라마, 스릴러",,,,,Unique Features,,"husband wife relationship, obsession, married couple, pregnancy, new orleans, louisiana, surrogate mother, inheritance, soldier, young woman, chef, desire, physical abuse, dead cat, boyfriend girlfriend relationship, wanting to have children, young couple, surrogacy, mentally unstable, lake house, successful, killing a cat, corporate lawyer, secrets, charity benefit, loving marriage, unable to get pregnant",,,tt1389139
로빈슨 크루소,2016-02-04,movie,90,"애니메이션, 모험, 코미디, 가족",,,,,uFilm,,"island, cat, parrot, bullying, anthropomorphism, storm, shipwrecked",,,tt4731008
हैप्पी भाग जाएगी,2016-08-19,movie,126,"코미디, 로맨스",,,,,Eros International,,"arranged marriage, romcom, stranded",,,tt5472758
언더 워터 샤크,2016-07-27,movie,85,"액션, 공포, SF",,,,,Syfy,,"future, mutation, earth, glacier, shark, extinction",,,tt5828640
홍금보의 보디가드,2016-04-01,movie,99,"액션, 범죄, 드라마",,,,,Edko Films,,,,,tt4076934
파타야,2016-02-24,movie,97,코미디,,,,,Mandarin Cinéma,,,,,tt4531694
쿵푸팬더: 두루마리의 비밀,2016-01-05,movie,23,"애니메이션, 가족, 코미디",,,,,DreamWorks Animation,,family,,,tt5513770
탐욕,2016-05-12,movie,85,로맨스,,,,,,,,,,tt5885620
Loose Screws,2016-03-03,movie,100,코미디,,,,,,,,,,tt5050058
침대렐라,2016-09-22,movie,90,"로맨스, 드라마",,,,,Road House,,softcore,,,tt7370564
위성: 영웅들의 귀환,2016-08-12,movie,100,"액션, 스릴러",,,,,Sun Entertainment Culture,,"injustice, 1910s",,,tt5842624
The Northern Paradigm,2016-01-01,movie,82,스릴러,,,,,,,,,,tt3183382
Monster High: Great Scarrier Reef,2016-02-12,movie,69,"가족, 애니메이션",,,,,Mattel,,,,,tt5475710
빅,2016-01-14,movie,86,"모험, 애니메이션, 코미디, 가족",,,,,Lionsgate,,"new york city, polar bear, arctic polar circle region, computer animation, psychotic, avalanche, shocking, lemmings, arctic, disgusted, embarrassed, ghoulish",,,tt1594972
블리드 포 디스,2016-11-04,movie,116,드라마,,,,,Sikelia Productions,,"underdog, sports, fighter, boxer, comeback, biography, rhode island, boxing, come back, inspirational",,,tt1620935
프란츠,2016-09-07,movie,113,"역사, 드라마, 로맨스",,,,,FOZ,,"germany, post world war i, soldier, post war, little town, gay theme",,,tt5029608
