Ceremony,Year,Class,Category,Film,Name,Winner,FilmId
94,2021,Writing,WRITING (Adapted Screenplay),Dune,Screenplay by Jon Spaihts and Denis Villeneuve and Eric Roth,,
94,2021,Writing,WRITING (Adapted Screenplay),The Lost Daughter,Written by Maggie Gyllenhaal,,
94,2021,Writing,WRITING (Adapted Screenplay),The Power of the Dog,Written by Jane Campion,,
94,2021,Writing,WRITING (Original Screenplay),Belfast,Written by Kenneth Branagh,True,
94,2021,Writing,WRITING (Original Screenplay),Don't Look Up,Screenplay by Adam McKay; Story by Adam McKay & David Sirota,,
94,2021,Writing,WRITING (Original Screenplay),King Richard,Written by Zach Baylin,,
94,2021,Writing,WRITING (Original Screenplay),Licorice Pizza,Written by Paul Thomas Anderson,,
94,2021,Writing,WRITING (Original Screenplay),The Worst Person in the World,"Written by Eskil Vogt, Joachim Trier",,
94,2021,Special,JEAN HERSHOLT HUMANITARIAN AWARD,,Danny Glover,True,
94,2021,Special,HONORARY AWARD,,,True,
94,2021,Special,HONORARY AWARD,,,True,
94,2021,Special,HONORARY AWARD,,,True,
95,2022,Acting,ACTOR IN A LEADING ROLE,Elvis,Austin Butler,,
95,2022,Acting,ACTOR IN A LEADING ROLE,The Banshees of Inisherin,Colin Farrell,,
95,2022,Acting,ACTOR IN A LEADING ROLE,The Whale,Brendan Fraser,True,
95,2022,Acting,ACTOR IN A LEADING ROLE,Aftersun,Paul Mescal,,
95,2022,Acting,ACTOR IN A LEADING ROLE,Living,Bill Nighy,,
95,2022,Acting,ACTOR IN A SUPPORTING ROLE,The Banshees of Inisherin,Brendan Gleeson,,
95,2022,Acting,ACTOR IN A SUPPORTING ROLE,Causeway,Brian Tyree Henry,,
95,2022,Acting,ACTOR IN A SUPPORTING ROLE,The Fabelmans,Judd Hirsch,,
95,2022,Acting,ACTOR IN A SUPPORTING ROLE,The Banshees of Inisherin,Barry Keoghan,,
95,2022,Acting,ACTOR IN A SUPPORTING ROLE,Everything Everywhere All at Once,Ke Huy Quan,True,
95,2022,Acting,ACTRESS IN A LEADING ROLE,Tár,Cate Blanchett,,
95,2022,Acting,ACTRESS IN A LEADING ROLE,Blonde,Ana de Armas,,
95,2022,Acting,ACTRESS IN A LEADING ROLE,To Leslie,Andrea Riseborough,,
95,2022,Acting,ACTRESS IN A LEADING ROLE,The Fabelmans,Michelle Williams,,
95,2022,Acting,ACTRESS IN A LEADING ROLE,Everything Everywhere All at Once,Michelle Yeoh,True,
95,2022,Acting,ACTRESS IN A SUPPORTING ROLE,Black Panther: Wakanda Forever,Angela Bassett,,
95,2022,Acting,ACTRESS IN A SUPPORTING ROLE,The Whale,Hong Chau,,
95,2022,Acting,ACTRESS IN A SUPPORTING ROLE,The Banshees of Inisherin,Kerry Condon,,
95,2022,Acting,ACTRESS IN A SUPPORTING ROLE,Everything Everywhere All at Once,Jamie Lee Curtis,True,
95,2022,Acting,ACTRESS IN A SUPPORTING ROLE,Everything Everywhere All at Once,Stephanie Hsu,,
95,2022,Title,ANIMATED FEATURE FILM,Guillermo del Toro's Pinocchio,"Guillermo del Toro, Mark Gustafson, Gary Ungar and Alex Bulkley",True,
95,2022,Title,ANIMATED FEATURE FILM,Marcel the Shell with Shoes On,"Dean Fleischer Camp, Elisabeth Holm, Andrew Goldman, Caroline Kaplan and Paul Mezey",,
95,2022,Title,ANIMATED FEATURE FILM,Puss in Boots: The Last Wish,Joel Crawford and Mark Swift,,
95,2022,Title,ANIMATED FEATURE FILM,The Sea Beast,Chris Williams and Jed Schlanger,,
95,2022,Title,ANIMATED FEATURE FILM,Turning Red,Domee Shi and Lindsey Collins,,
95,2022,Production,CINEMATOGRAPHY,All Quiet on the Western Front,James Friend,True,
95,2022,Production,CINEMATOGRAPHY,"Bardo, False Chronicle of a Handful of Truths",Darius Khondji,,
